property	pre	post	verdict
identity.id	mii-ig-symptom	mii-ig-symptom	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/modul-symptom	https://www.medizininformatik-initiative.de/fhir/modul-symptom	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.symptom	de.medizininformatikinitiative.kerndatensatz.symptom	unchanged
identity.name	MII_IG_Symptom	MII_IG_Symptom	unchanged
identity.version	2026.0.0-rc.1	2026.0.0-rc.1	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	CC-BY-4.0	CC-BY-4.0	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	Medizininformatik Initiative	unchanged
identity.status	active	active	unchanged
identity.title	MII IG Symptom	MII IG Symptom	unchanged
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	true	true	unchanged
mode	static	static	unchanged
artifacts.profiles	3	3	unchanged
artifacts.extensions	0	0	unchanged
artifacts.valuesets	0	0	unchanged
artifacts.codesystems	0	0	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	7	7	unchanged
artifacts.rulesets	9	50	expected-change
artifacts.invariants	0	0	unchanged
artifacts.mappings	1	1	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	12	12	unchanged
narrative.pages	11	25	expected-change
narrative.intro_note_pages	0	2	expected-change
narrative.translation_pages	0	14	expected-change
directives.total	46	46	unchanged
