# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0; the Markdown report is its rendering.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (non-authoritative guide tree, not migrated).
MIIIGModulSymptom/Index.page.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
MIIIGModulSymptom/BeschreibungModul-1.x.page.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match 'beschreibungmodul' -> index (routing-table)
MIIIGModulSymptom/KontextimGesamtprojektBezgezuanderenModulen-1.x.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'kontextimgesamtprojekt' -> implementer-guidance (routing-table)
MIIIGModulSymptom/Referenzen-1.x.page.md	RETIRED	[MAP-EDIT] intentionally blank in source ('Diese Seite wurde absichtlich leer gelassen') - nothing to merge; Referenzen concern re-routes to implementer-guidance if content ever appears	5	semantic match 'referenzen' -> implementer-guidance (routing-table)
MIIIGModulSymptom/AnwendungsflleInformationsmodell-1.x/Index.page.md	RETIRED	[MAP-EDIT] folder index intentionally blank; its 3 children route to guidance/logical-models/uml-diagrams - the template's Guidance cluster replaces the folder grouping	5	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulSymptom/AnwendungsflleInformationsmodell-1.x/BeschreibungvonSzenarienfrdieAnwendungderModule-1.x.page.md	input/pagecontent/guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'szenarien' -> guidance (routing-table)
MIIIGModulSymptom/AnwendungsflleInformationsmodell-1.x/Datenstzeinkl.Beschreibungen-1.x.page.md	input/pagecontent/logical-models.md	[MAP-EDIT] an agreed page owns the concern: the page describes the FHIR Logical Model (ArtDecor provenance + element table) - generator proposed a new slug-named page	3	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulSymptom/AnwendungsflleInformationsmodell-1.x/UML-1.x.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match 'uml' -> uml-diagrams (routing-table)
MIIIGModulSymptom/TechnischeImplementierung-1.x/Index.page.md	RETIRED	[MAP-EDIT] folder index intentionally blank; its children route to profiles/capability-statements - template artifact cluster replaces the folder grouping	5	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulSymptom/TechnischeImplementierung-1.x/CapabilityStatement.page.md	input/pagecontent/capability-statements.md	semantic home per references/routing-table.tsv	3	semantic match 'capabilitystatement' -> capability-statements (routing-table)
MIIIGModulSymptom/TechnischeImplementierung-1.x/Terminologien-1.x.page.md	RETIRED	[MAP-EDIT] intentionally blank in source; module defines 0 terminology artifacts (code-systems page itself is an M9 removal)	5	semantic match 'terminologien' -> code-systems (routing-table)
MIIIGModulSymptom/TechnischeImplementierung-1.x/FHIR-Profile-1.x/Index.page.md	input/pagecontent/profiles.md	family overview - h3/h4 section on an artefact index page	2	3 children, 2 anchoring distinct artefacts (StructureDefinition)
MIIIGModulSymptom/TechnischeImplementierung-1.x/FHIR-Profile-1.x/Observation-Condition-Relationship.page.md	input/pagecontent/profiles.md	subsection of the family overview MIIIGModulSymptom/TechnischeImplementierung-1.x/FHIR-Profile-1.x/Index.page.md	2	child of family overview MIIIGModulSymptom/TechnischeImplementierung-1.x/FHIR-Profile-1.x/Index.page.md (no anchor of its own)
MIIIGModulSymptom/TechnischeImplementierung-1.x/FHIR-Profile-1.x/Observation-1.x.page.md	input/intro-notes/StructureDefinition-mii-pr-symptom-observation-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-symptom-observation (1 candidate artefact)
MIIIGModulSymptom/TechnischeImplementierung-1.x/FHIR-Profile-1.x/Condition-1.x.page.md	input/intro-notes/StructureDefinition-mii-pr-symptom-condition-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-symptom-condition (1 candidate artefact)
index.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
ImplementationGuide-Common/**	RETIRED	[MAP-EDIT] shared image tree: referenced images COPIED FLAT to input/images/ (17_Abbildung_Symptome_de.jpg, ig_bilder_UML.png, Warning.jpg); the tree itself retires with implementation-guides/ after Gate D	5	dir version -, guide.yaml version -, lang -, 0 page file(s); authoritative: ImplementationGuide-2024.x-DE
